run,time,nnz,rmse
44,40.00221753,472091,2.967946852
44,50.00419593,476499,2.968268928
44,60.00192356,476499,2.968268928
44,70.00229168,476499,2.968268928
44,80.00523877,476499,2.968268928
44,90.00068974,476499,2.968268928
44,100.0009444,476499,2.968268928
44,110.0041203,476499,2.968268928
44,120.0001395,479759,2.970962825
44,130.0003417,481230,2.971986157
44,140.0000908,485247,2.973330945
44,150.0012574,491280,2.973440939
44,160.0012479,492424,2.973633637
44,170.0017452,494509,2.974354419
44,180.0019076,497208,2.974851751
44,190.0021975,499694,2.974876413
44,200.001056,503982,2.975047031
44,210.0063353,509788,2.976743157
44,220.0021689,513253,2.97723178
44,230.0009613,517303,2.977741775
44,240.0034902,524187,2.979514293
44,250.0003753,528645,2.980003341
44,260.0016789,533531,2.979975908
44,270.0004194,536364,2.980423783
44,280.0044911,539183,2.981308766
44,290.0035164,540747,2.981810418
44,300.0003297,546458,2.98264128
44,310.0030982,549623,2.983416778
44,320.002064,552708,2.983672966
44,330.0010035,554393,2.983950897
44,340.0084503,558161,2.984140651
44,350.002851,562020,2.985224875
44,360.0069082,563529,2.985585839
44,370.0009408,566058,2.986270373
44,380.0013168,569253,2.987133496
44,390.0041809,573257,2.987872899
44,400.0022998,575124,2.988444913
44,410.0054352,578423,2.989453964
44,420.0018363,581499,2.99056232
44,430.0074191,582495,2.990703427
